res:47000000.000; tol:0.500
res:2300.000; tol:0.250
res:6200000.000; tol:0.250
res:92.000; tol:2.000
res:100000.000; tol:5.000
res:100.000; tol:5.000
res:350.000; tol:0.000
res:480000.000; tol:0.100
res:2900000.000; tol:0.000
res:0.600; tol:0.500
res:860000.000; tol:0.000
res:90000.000; tol:0.100
res:0.310; tol:0.500
res:260000000.000; tol:0.250
res:190000000.000; tol:0.000
res:84000000.000; tol:2.000
res:1500.000; tol:0.000
res:790.000; tol:0.000
res:43000.000; tol:0.000
res:71000000.000; tol:5.000
res:540.000; tol:0.000
res:92000000.000; tol:10.000
res:1100000.000; tol:1.000
res:1.130; tol:0.100
res:9000.000; tol:0.000
res:8000000.000; tol:0.000
res:2.400; tol:5.000
res:57000.000; tol:0.000
res:1160000000.000; tol:5.000
res:10000.000; tol:0.050
res:400.000; tol:5.000
res:270.000; tol:10.000
res:11800000.000; tol:0.000
res:710000.000; tol:1.000
res:630000000.000; tol:0.000
res:670.000; tol:0.100
res:980.000; tol:0.050
res:62000.000; tol:0.250
res:90.000; tol:0.500
res:8.900; tol:1.000
res:1200.000; tol:0.500
res:520000000.000; tol:0.000
res:9300.000; tol:0.000
res:3.600; tol:2.000
res:84000000.000; tol:1.000
res:1.010; tol:0.000
res:1180.000; tol:0.250
res:920000000.000; tol:0.250
res:0.670; tol:0.100
res:1500.000; tol:0.050
res:64.000; tol:10.000
res:0.720; tol:0.000
res:38.000; tol:5.000
res:101000000.000; tol:0.000
res:45000000.000; tol:0.050
res:1000000.000; tol:1.000
res:1130000000.000; tol:1.000
res:0.740; tol:10.000
res:10.600; tol:0.100
res:61000000.000; tol:0.000
res:0.620; tol:2.000
res:3.700; tol:0.000
res:900000000.000; tol:10.000
res:610.000; tol:0.000
res:7.200; tol:5.000
res:2800000.000; tol:5.000
res:60000000.000; tol:0.050
res:11000.000; tol:0.000
res:60000000.000; tol:0.250
res:0.610; tol:0.000
res:21000000.000; tol:0.000
res:9400.000; tol:0.000
res:8800.000; tol:0.000
res:27.000; tol:0.000
res:420000000.000; tol:0.100
res:0.380; tol:0.250
res:0.210; tol:2.000
res:140.000; tol:0.000
res:21000.000; tol:10.000
res:40000.000; tol:10.000
res:9600000.000; tol:0.100
res:430000.000; tol:0.000
res:0.710; tol:0.000
res:8100.000; tol:1.000
res:2.800; tol:0.000
res:3400.000; tol:0.500
res:5600000.000; tol:0.000
res:630.000; tol:1.000
res:26000000.000; tol:10.000
res:7.200; tol:0.250
res:750.000; tol:5.000
res:9800.000; tol:10.000
res:1210000.000; tol:10.000
res:15000.000; tol:0.100
res:6700.000; tol:1.000
res:0.740; tol:0.000
res:45000.000; tol:2.000
res:0.760; tol:0.000
res:2500000.000; tol:1.000
res:1.800; tol:0.050
res:410.000; tol:0.000
res:520000000.000; tol:0.250
res:1.600; tol:0.000
res:3700000.000; tol:0.000
res:600000.000; tol:1.000
